City,State,Portal_URL,DatePortalAccessed,Software,TotalDataSetsAvailable,NotesDataSetsAvailable,CountVettedPublicLibData,TypePLDataAvailable,LibraryDataCategories,DateLibDataLastUpdated,Notes,2017OpenDataCensusScore
Lexington,KY,https://data.lexingtonky.gov/,2019-12-16,CKAN,98,,1,Libraries,FacilitiesAndGeospatial,2017-06-30,,255
Lincoln,NE,http://opendata.lincoln.ne.gov/,2019-12-16,Arcgis,121,Restricted to Data,0,,,,,385
Little Rock,AR,https://data.littlerock.gov/,2019-12-16,Socrata,23,Restricted to type: datasets,0,,,,,N/A
Long Beach,CA,http://datalb.longbeach.gov/,2019-12-16,Arcgis,61,Restricted to Data,1,Libraries,FacilitiesAndGeospatial,2018-01-10,,290
Los Angeles,CA,https://data.lacity.org/,2019-12-16,Socrata,308,Restricted to type: datasets,2,"Library Monthly Stats,Library Branches","FacilitiesAndGeopspatial,Patrons,EventsAndOutreach,Technology Offerings,CatalogAndCirculation",2019-07-26,,1710
Louisville,KY,https://data.louisvilleky.gov/,2019-12-16,DKAN,224,Restricted to type: datasets,0,,,,,1370
Madison,WI,https://data-cityofmadison.opendata.arcgis.com/,2019-12-16,Arcgis,146,Restricted to Data,1,Libraries,FacilitiesAndGeospatial,2019-11-13,,470
Manhattan Beach,CA,http://data-citymb.opendata.arcgis.com/,2019-12-16,Arcgis,8,,0,,,,Older version of arcgis no limiting to data,380
Memphis ,TN,https://data.memphistn.gov/,2019-12-16,Socrata,53,Restricted to type: datasets,2,"Library program total attendance and count, Memphis public libraries shapefile","EventsAndOutreach,FacilitiesAndGeospatial",2019-12-13,,N/A
Mesa,AZ,https://data.mesaaz.gov/,2019-12-16,Socrata,125,Restricted to type: datasets,4,"Library programs, Library materials circulation, Library computer use, Library in-house visits","EventsAndOutreach,CatalogAndCirculation,TechnologyOfferings,Patrons",2019-12-16,,1135
Miami,FL,https://data.miamigov.com/,2019-12-16,Socrata,12,Restricted to type: datasets,0,,,,https://data.miamigov.com/browse?limitTo=datasets,N/A
Milwaukee,WI,https://data.milwaukee.gov/,2019-12-16,CKAN,143,,1,Libraries,FacilitiesAndGeospatial,2019-05-30,,N/A
Minneapolis,MN,http://opendata.minneapolismn.gov/,2019-12-16,Arcgis,144,Restricted to Data,0,,,,,235
Naperville,IL,https://data.naperville.il.us/,2019-12-16,Socrata,83,Restricted to type: datasets,0,,,,,N/A
Nashville,TN,https://data.nashville.gov/,2019-12-16,Socrata,99,Restricted to type: datasets,3,"Library facilities, Nashville public library - eMedia circulation, Nashville public library - physical circulation","FacilitiesAndGeospatial,CatalogAndCirculation,TechnologyOfferings",2019-10-29,,865
New Orleans,LA,https://datadriven.nola.gov/home/,,Socrata,116,,0,,,,12/16/2019 website is down,940
New Orleans,LA,https://portal-nolagis.opendata.arcgis.com,2019-12-16,Arcgis,75,Restricted to Data,1,Public Libraries,FacilitiesAndGeospatial,2018-06-11,,940
Newport News,VA,https://www.nnva.gov/2229/Open-Data,2019-12-16,Other,7,,0,,,,,70
New York City,NY,https://opendata.cityofnewyork.us/,2019-12-16,Socrata,"2,031",Restricted to type: datasets,6,"Queens Library Branches, NYPL Branch services 7-2010 to 6-2011. NYPL Branch Services - Manhattan, NYPL - Branch Services - Bronx, NYPL Branch Services - Staten Island, Brooklyn PL appointments","FacilitiesAndGeospatial,EventsAndOutreach,CatalogAndCirculation,Patrons,HumanResources",2019-11-22,Board appointments categorized as human resources,1740
Norfolk,VA,https://data.norfolk.gov/,2019-12-16,Socrata,32,Restricted to type: datasets,2,"Library Active Users Statistics, Library Circulation Statistics","Patrons,CatalogAndCirculation",2019-11-22,,325
Northampton,MA,,,,,,,,,,no portal meeting needs of this study,N/A
Oakland,CA,https://data.oaklandnet.com/,2019-12-16,Socrata,214,Restricted to type: datasets,1,Oakland Public Library Branch Locations and Hours,FacilitiesAndGeospatial,2015-03-16,,560
Oklahoma City,OK,https://data.okc.gov/portal/page/start/,2019-12-16,Other,94,,0,,,,,705
Orlando,FL,https://data.cityoforlando.net/,2019-12-16,Socrata,10,Restricted to type: datasets,0,,,,,N/A
Pasadena,CA,http://data.cityofpasadena.net/,2019-12-16,Arcgis,102,Restricted to Data,1,Libraries,FacilitiesAndGeospatial,2017-08-23,,640
Philadelphia,PA,https://www.opendataphilly.org/,2019-12-16,CKAN,373,,0,,,,,1595
Phoenix,AZ,https://www.phoenixopendata.com/,2019-12-16,CKAN,34,,3,"Library hours, Library computers, Library meeting rooms","TechnologyOfferings,FacilitiesAndGeospatial",2017-09-15,datasets are missing important columns,45
Pittsburgh,PA,https://data.wprdc.org/dataset,2019-12-16,CKAN,335,,2,"Library locations, library wi-fi usage",FacilitiesAndGeospatial,2019-10-03,"Western Pennsylvania Regional Data Center website: ""The Data Center maintains Allegheny County and the City of Pittsburgh’s open data portal, and provides a number of services to data publishers and users.""",1170
Poquoson,VA,,,,,,,,,,No open data website found,0
